Radovi po autoru pridruzeni Author                          Katedra                  
tatjana pekmezovic              katedra za epidemiologiju    262
vladimir trajkovic              katedra za imunologiju       155
vera pravica                    katedra za imunologiju        87
ljiljana markovic-denic         katedra za epidemiologiju     84
tatjana gazibara                katedra za epidemiologiju     77
maja stanojevic                 katedra za mikrobiologiju     70
darija kisic-tepavcevic         katedra za epidemiologiju     62
valentina arsic-arsenijevic     katedra za mikrobiologiju     49
ivana cirkovic                  katedra za mikrobiologiju     46
dusan popadic                   katedra za imunologiju        46
tanja jovanovic                 katedra za mikrobiologiju     44
dragana vukovic                 katedra za mikrobiologiju     43
jovan ranin                     infektivne bolesti            42
ivana lazarevic                 katedra za mikrobiologiju     40
lazar ranin                     katedra za mikrobiologiju     39
sandra sipetic-grujicic         katedra za epidemiologiju     39
goran stevanovic                infektivne bolesti            38
slobodanka djukic               katedra za mikrobiologiju     37
natasa maksimovic               katedra za epidemiologiju     37
jadranka maksimovic             katedra za epidemiologiju     36
eleonora dubljanin              katedra za mikrobiologiju     35
maja cupic                      katedra za mikrobiologiju     31
ivana milosevic                 infektivne bolesti            30
branko milosevic                infektivne bolesti            30
